,DESC_KOR,NN
0,꿩불고기,불고기
1,닭갈비,닭갈비
2,닭갈비,닭갈비
3,닭꼬치,닭꼬치
4,더덕구이,더덕
5,도미구이,도미
6,돼지갈비,돼지갈비
7,병어구이,병어
8,불고기,불고기
9,붕장어소금구이,붕장어
10,소양념갈비구이,nan
11,양념왕갈비,갈비
12,양념장어구이,nan
13,임연수구이,임연
14,짚불구이곰장어,구이
15,햄버그스테이크,햄버그
16,황태구이,황태
17,훈제오리,훈제
18,게국지,게국지
19,곰치국,곰치
20,굴국밥,굴국밥
21,김치국,김치
22,떡만둣국,만둣국
23,만둣국,만둣국
24,맑은감자국,감자
25,매생이국,매생이
26,무된장국,nan
27,미소된장국,미소
28,바지락조개국,바지락
29,뼈다귀해장국,해장국
30,선지해장국,선지
31,소고기무국,무국
32,소고기미역국,미역국
33,순대국,대국
34,시래기된장국,nan
35,올갱이국,nan
36,우거지해장국,해장국
37,우렁된장국,nan
38,탕국,nan
39,홍합미역국,홍합
40,황태해장국,황태
41,고추잡채,고추
42,난자완스,nan
43,도토리묵말이,도토리묵
44,라조기,nan
45,물회,nan
46,생선물회,선물
47,소고기샤브샤브,nan
48,오징어순대,오징어
49,초당순두부,초당
50,해파리냉채,해파리
51,고들빼기,고들빼기
52,열무얼갈이김치,김치
53,미나리나물,미나리
54,취나물,취나물
55,콩나물,콩나물
56,경단(깨),경단
57,경단(콩),경단
58,기피편,기피
59,녹두시루떡,녹두
60,메밀전병,메밀
61,무지개떡,무지개떡
62,송편(깨),송편
63,송편(콩),송편
64,수수부꾸미,수수
65,수수팥떡,nan
66,시루떡,시루떡
67,쑥떡,쑥떡
68,절편,절편
69,찹쌀떡,찹쌀떡
70,간자장,자장
71,굴짬뽕,짬뽕
72,기스면,기스면
73,김치라면,김치라면
74,김치우동,김치
75,냉김치말이국수,김치
76,닭칼국수,칼국수
77,둘깨칼국수,칼국수
78,막국수,막국수
79,삼선우동,우동
80,삼선자장면,nan
81,삼선짬뽕,짬뽕
82,쌀국수,쌀국수
83,열무김치국수,열무김치
84,열무냉면,냉면
85,오일소스스파게티,소스
86,올갱이국수,이
87,우동(일식),우동
88,우동(중식),우동
89,울면,울면
90,자장면,nan
91,짬뽕라면,짬뽕
92,치즈라면,치즈
93,크림소스스파게티,크림
94,토마토소스스파게티,토마토
95,해물칼국수,칼국수
96,해물크림소스스파게티,크림
97,해물토마토소스스파게티,토마토
98,골뱅이무침,골뱅이
99,노각무침,노
100,단무지무침,nan
101,달래나물무침,달래
102,더덕무침,더덕
103,도토리묵,도토리묵
104,밴댕이무침,밴댕이
105,서대회무침,서
106,쑥갓나물무침,쑥갓
107,우거지나물무침,나물
108,쥐치채,쥐치
109,청포묵무침,nan
110,탕평채,탕평채
111,홍어무침,홍어
112,고추장불고기 삼각김밥,고추장
113,곤드레나물밥,곤
114,국밥,국밥
115,농어초밥,농어
116,돼지국밥,돼지국밥
117,류산슬덮밥,nan
118,멍게비빔밥,멍게
119,멸치주먹밥,멸치
120,묵밥,nan
121,문어초밥,문어
122,비빔밥,비빔밥
123,삼선볶음밥,볶음밥
124,새우초밥,새우
125,새우튀김롤,새우
126,샐러드김밥,샐러드
127,생선초밥(광어),생선
128,생선초밥(모듬),생선
129,소고기국밥,국밥
130,소고기김밥,김밥
131,송이덮밥,송이
132,숯불갈비 삼각김밥,삼각김밥
133,약초비빔밥,비빔밥
134,연어롤,연어
135,연어초밥,연어
136,오곡밥,오곡밥
137,자장밥,자장
138,잡탕밥,nan
139,장어덮밥,장어
140,장어초밥,장어
141,참치덮밥,nan
142,참치마요네즈 삼각김밥,마요네즈
143,충무김밥,충무김밥
144,캘리포니아롤,캘리포니아
145,한치초밥,초밥
146,해물덮밥,nan
147,해물볶음밥,볶음밥
148,회덮밥,회덮밥
149,깻잎나물볶음,나물
150,돼지고기볶음,돼지고기
151,돼지껍데기볶음,돼지
152,두부김치,두부김치
153,머위나물볶음,머위
154,멸치풋고추볶음,멸치
155,소세지볶음,볶음
156,순대볶음,순대볶음
157,양송이버섯볶음,양송이
158,오삼불고기,불고기
159,주꾸미볶음,주꾸미
160,표고버섯볶음,볶음
161,해물볶음,볶음
162,곰보빵,곰보빵
163,만주,만주
164,버터크림빵,버터크림
165,불고기피자,불고기
166,참치샌드위치,샌드위치
167,찹쌀도우넛,nan
168,채소고로케,채소
169,초콜릿케이크,초콜릿
170,치즈케이크,치즈케이크
171,치즈피자,치즈
172,페이스트리빵,페이스트리
173,페퍼로니피자,페퍼로니
174,포테이토피자,테이
175,수정과,수정과
176,식혜,식혜
177,간장마늘쫑장아찌,nan
178,고추장마늘쫑장아찌,nan
179,매실장아찌,장아찌
180,무장아찌,장아찌
181,계적,nan
182,낙지꼬지,낙지
183,돔베기적,기적
184,소고기산적,nan
185,소라산적,소라
186,오징어산적,오징어
187,홍어적,홍어
188,홍합산적,홍합
189,가자미전,가자미
190,고추전,고추
191,굴전,전
192,깻잎전,전
193,녹두빈대떡,녹두
194,동그랑땡(육원전),전
195,동태전,전
196,두부전,부전
197,미나리전,미나리
198,배추전,배추
199,버섯전,버섯
200,야채전,전
201,파전,파전
202,햄부침,nan
203,호박부침개,호박
204,호박전,호박
205,화양적,nan
206,가자미조림,가자미
207,고추조림,고추
208,동태조림,조림
209,돼지고기메추리알장조림,돼지고기
210,북어조림,조림
211,소고기메추리알장조림,소고
212,조기조림,조기
213,게살죽,게살
214,깨죽,nan
215,백합죽,백합
216,소고기버섯죽,버섯
217,어죽,nan
218,잣죽,잣죽
219,참치죽,nan
220,고등어찌개,찌개
221,김치찌개,김치찌개
222,꽁치찌개,꽁치
223,두부전골,nan
224,버섯찌개,버섯
225,부대찌개,부대찌개
226,새우젓두부찌개,새우젓
227,소곱창전골,곱창전골
228,햄김치찌개,김치찌개
229,호박찌개,호박
230,대구찜,대구
231,도미찜,도미
232,동태찜,nan
233,돼지등갈비찜,돼지
234,돼지머리고기,돼지
235,매운갈비찜,갈비찜
236,문어숙회,문어
237,민어찜,민어
238,병어찜,병어
