,DESC_KOR,NN,category
0,꿩불고기,불고기,22
1,닭갈비,닭갈비,0
2,닭갈비,닭갈비,0
3,닭꼬치,닭꼬치,0
4,더덕구이,더덕,0
5,도미구이,도미,0
6,돼지갈비,돼지갈비,0
7,병어구이,병어,0
8,불고기,불고기,22
9,붕장어소금구이,붕장어,0
10,소양념갈비구이,nan,0
11,양념왕갈비,갈비,0
12,양념장어구이,nan,0
13,임연수구이,임연,0
14,짚불구이곰장어,구이,0
15,햄버그스테이크,햄버그,0
16,황태구이,황태,238
17,훈제오리,훈제,228
18,게국지,게국지,0
19,곰치국,곰치,0
20,굴국밥,굴국밥,0
21,김치국,김치,62
22,떡만둣국,만둣국,0
23,만둣국,만둣국,0
24,맑은감자국,감자,53
25,매생이국,매생이,0
26,무된장국,nan,0
27,미소된장국,미소,0
28,바지락조개국,바지락,0
29,뼈다귀해장국,해장국,0
30,선지해장국,선지,0
31,소고기무국,무국,0
32,소고기미역국,미역국,0
33,순대국,대국,0
34,시래기된장국,nan,0
35,올갱이국,nan,0
36,우거지해장국,해장국,0
37,우렁된장국,nan,0
38,탕국,nan,0
39,홍합미역국,홍합,0
40,황태해장국,황태,238
41,고추잡채,고추,160
42,난자완스,nan,0
43,도토리묵말이,도토리묵,0
44,라조기,nan,0
45,물회,nan,0
46,생선물회,선물,0
47,소고기샤브샤브,nan,0
48,오징어순대,오징어,77
49,초당순두부,초당,0
50,해파리냉채,해파리,0
51,고들빼기,고들빼기,0
52,열무얼갈이김치,김치,62
53,미나리나물,미나리,0
54,취나물,취나물,0
55,콩나물,콩나물,0
56,경단(깨),경단,0
57,경단(콩),경단,0
58,기피편,기피,0
59,녹두시루떡,녹두,0
60,메밀전병,메밀,271
61,무지개떡,무지개떡,0
62,송편(깨),송편,0
63,송편(콩),송편,0
64,수수부꾸미,수수,0
65,수수팥떡,nan,0
66,시루떡,시루떡,0
67,쑥떡,쑥떡,0
68,절편,절편,0
69,찹쌀떡,찹쌀떡,0
70,간자장,자장,0
71,굴짬뽕,짬뽕,250
72,기스면,기스면,0
73,김치라면,김치라면,0
74,김치우동,김치,62
75,냉김치말이국수,김치,62
76,닭칼국수,칼국수,252
77,둘깨칼국수,칼국수,252
78,막국수,막국수,0
79,삼선우동,우동,0
80,삼선자장면,nan,0
81,삼선짬뽕,짬뽕,250
82,쌀국수,쌀국수,281
83,열무김치국수,열무김치,0
84,열무냉면,냉면,0
85,오일소스스파게티,소스,0
86,올갱이국수,이,187
87,우동(일식),우동,0
88,우동(중식),우동,0
89,울면,울면,0
90,자장면,nan,0
91,짬뽕라면,짬뽕,250
92,치즈라면,치즈,3
93,크림소스스파게티,크림,28
94,토마토소스스파게티,토마토,91
95,해물칼국수,칼국수,252
96,해물크림소스스파게티,크림,28
97,해물토마토소스스파게티,토마토,91
98,골뱅이무침,골뱅이,0
99,노각무침,노,274
100,단무지무침,nan,0
101,달래나물무침,달래,0
102,더덕무침,더덕,0
103,도토리묵,도토리묵,0
104,밴댕이무침,밴댕이,0
105,서대회무침,서,0
106,쑥갓나물무침,쑥갓,0
107,우거지나물무침,나물,199
108,쥐치채,쥐치,0
109,청포묵무침,nan,0
110,탕평채,탕평채,0
111,홍어무침,홍어,0
112,고추장불고기 삼각김밥,고추장,167
113,곤드레나물밥,곤,13
114,국밥,국밥,0
115,농어초밥,농어,0
116,돼지국밥,돼지국밥,0
117,류산슬덮밥,nan,0
118,멍게비빔밥,멍게,0
119,멸치주먹밥,멸치,212
120,묵밥,nan,0
121,문어초밥,문어,0
122,비빔밥,비빔밥,0
123,삼선볶음밥,볶음밥,104
124,새우초밥,새우,20
125,새우튀김롤,새우,20
126,샐러드김밥,샐러드,94
127,생선초밥(광어),생선,229
128,생선초밥(모듬),생선,229
129,소고기국밥,국밥,0
130,소고기김밥,김밥,289
131,송이덮밥,송이,0
132,숯불갈비 삼각김밥,삼각김밥,0
133,약초비빔밥,비빔밥,0
134,연어롤,연어,0
