,NUTR_CONT4,NUTR_CONT2,NUTR_CONT3,DESC_KOR
0,8.5,39.7,33.5,꿩불고기
1,25.8,44.9,45.9,닭갈비
2,31.6,23.1,45.5,닭갈비
3,8.57,13.35,11.56,닭꼬치
4,5.2,31.1,3.1,더덕구이
5,16.5,2.1,61.1,도미구이
6,14.4,8.1,19.5,돼지갈비
7,30.8,0.2,54.6,병어구이
8,25.2,7.8,34.4,불고기
9,16.2,11.6,26.0,붕장어소금구이
10,71.6,26.2,60.1,소양념갈비구이
11,35.3,13.7,27.1,양념왕갈비
12,30.56,8.8,30.77,양념장어구이
13,29.4,3.5,53.8,임연수구이
14,16.2,2.3,42.7,짚불구이곰장어
15,29.65,20.76,26.96,햄버그스테이크
16,15.4,26.9,47.8,황태구이
17,64.07,12.08,43.06,훈제오리
18,12.1,31.7,44.9,게국지
19,11.8,23.9,54.3,곰치국
20,17.8,88.4,42.4,굴국밥
21,2.8,10.5,5.4,김치국
22,11.32,110.71,20.06,떡만둣국
23,17.45,47.83,21.43,만둣국
24,5.5,34.6,8.3,맑은감자국
25,2.8,13.4,10.0,매생이국
26,2.4,14.7,6.1,무된장국
27,1.8,2.8,2.8,미소된장국
28,3.1,10.1,22.0,바지락조개국
29,35.7,23.4,74.6,뼈다귀해장국
30,5.4,16.7,49.3,선지해장국
31,4.0,7.8,14.2,소고기무국
32,5.3,7.7,18.1,소고기미역국
33,33.02,17.26,43.52,순대국
34,3.1,11.0,6.7,시래기된장국
35,4.2,13.0,13.7,올갱이국
36,5.9,13.5,11.9,우거지해장국
37,7.7,19.2,24.6,우렁된장국
38,4.27,0.24,13.18,탕국
39,4.7,11.6,19.7,홍합미역국
40,6.8,5.7,24.5,황태해장국
41,12.01,26.17,10.99,고추잡채
42,20.35,19.15,21.63,난자완스
43,8.5,89.7,6.8,도토리묵말이
44,23.49,26.23,20.66,라조기
45,18.9,55.3,34.4,물회
46,12.3,82.5,34.3,생선물회
47,9.8,14.7,29.1,소고기샤브샤브
48,5.6,58.3,45.7,오징어순대
49,29.2,15.8,49.1,초당순두부
50,1.4,13.4,6.2,해파리냉채
51,0.61,10.93,1.58,고들빼기
52,0.33,2.61,1.07,열무얼갈이김치
53,1.83,2.24,1.02,미나리나물
54,6.15,3.31,1.38,취나물
55,1.65,0.94,1.68,콩나물
56,0.54,74.22,4.44,경단(깨)
57,0.46,74.03,3.51,경단(콩)
58,0.25,48.99,5.45,기피편
59,2.53,48.08,7.74,녹두시루떡
60,6.29,21.62,6.19,메밀전병
61,0.31,53.01,3.53,무지개떡
62,2.74,44.96,4.93,송편(깨)
63,0.75,41.66,5.24,송편(콩)
64,6.29,42.1,5.73,수수부꾸미
65,0.59,43.03,6.7,수수팥떡
66,0.61,47.54,5.47,시루떡
67,0.4,57.89,3.36,쑥떡
68,0.29,43.94,3.64,절편
69,0.15,65.61,3.27,찹쌀떡
70,22.03,134.22,22.33,간자장
71,9.61,115.69,32.87,굴짬뽕
72,10.72,89.79,37.82,기스면
73,16.9,86.2,13.8,김치라면
74,4.6,99.14,15.55,김치우동
75,4.8,52.0,12.9,냉김치말이국수
76,12.8,94.7,42.2,닭칼국수
77,16.5,59.8,17.6,둘깨칼국수
78,5.8,109.8,20.0,막국수
79,8.48,105.9,47.94,삼선우동
80,18.14,126.53,33.64,삼선자장면
81,10.77,101.73,39.63,삼선짬뽕
82,4.2,55.1,15.6,쌀국수
83,10.2,69.6,15.0,열무김치국수
84,5.78,97.52,20.84,열무냉면
85,23.43,89.42,19.56,오일소스스파게티
86,8.3,111.6,11.2,올갱이국수
87,7.91,74.2,13.39,우동(일식)
88,21.02,85.37,29.45,우동(중식)
89,7.37,128.18,37.46,울면
90,20.32,133.63,19.77,자장면
91,26.3,92.0,21.3,짬뽕라면
92,23.0,80.0,16.8,치즈라면
93,50.59,73.76,21.79,크림소스스파게티
94,19.15,93.2,24.35,토마토소스스파게티
95,4.61,123.9,22.8,해물칼국수
96,49.79,86.97,30.39,해물크림소스스파게티
97,13.73,87.24,27.97,해물토마토소스스파게티
98,1.97,15.69,7.08,골뱅이무침
99,1.8,14.3,2.6,노각무침
100,0.8,2.8,0.5,단무지무침
101,2.8,23.8,4.0,달래나물무침
102,2.8,43.4,4.3,더덕무침
103,0.32,10.38,0.29,도토리묵
104,33.0,46.0,29.8,밴댕이무침
105,4.6,45.9,22.6,서대회무침
106,5.7,6.6,4.5,쑥갓나물무침
107,8.5,8.7,4.5,우거지나물무침
108,0.15,10.9,2.75,쥐치채
109,5.2,22.7,2.9,청포묵무침
110,3.81,12.26,3.55,탕평채
111,2.63,25.95,17.85,홍어무침
112,1.58,34.11,3.66,고추장불고기 삼각김밥
113,9.5,98.9,10.3,곤드레나물밥
114,8.2,58.6,27.6,국밥
115,1.34,78.75,17.43,농어초밥
116,38.6,74.7,66.4,돼지국밥
117,19.04,73.95,26.96,류산슬덮밥
118,13.1,90.7,16.6,멍게비빔밥
119,6.6,54.3,9.0,멸치주먹밥
120,7.7,128.6,14.8,묵밥
121,0.74,81.78,14.61,문어초밥
122,22.0,98.7,24.6,비빔밥
123,26.46,85.75,26.24,삼선볶음밥
124,0.75,78.42,16.8,새우초밥
125,18.17,96.28,14.47,새우튀김롤
126,13.52,61.45,9.62,샐러드김밥
127,3.92,77.55,27.07,생선초밥(광어)
128,6.06,76.43,25.42,생선초밥(모듬)
129,8.1,42.6,21.8,소고기국밥
130,9.63,62.52,15.98,소고기김밥
131,14.06,95.6,18.21,송이덮밥
132,1.67,32.55,4.0,숯불갈비 삼각김밥
133,15.9,80.2,11.9,약초비빔밥
134,15.4,74.32,18.57,연어롤
135,9.74,71.04,18.88,연어초밥
136,1.3,82.32,11.95,오곡밥
137,22.28,120.06,15.24,자장밥
138,20.14,104.94,44.12,잡탕밥
139,22.98,97.35,30.09,장어덮밥
140,10.83,80.68,16.52,장어초밥
141,16.73,102.93,29.2,참치덮밥
142,3.2,31.95,3.94,참치마요네즈 삼각김밥
143,5.96,109.16,23.43,충무김밥
144,9.05,89.23,12.33,캘리포니아롤
145,0.85,77.92,13.71,한치초밥
146,22.44,100.45,42.04,해물덮밥
147,27.0,90.46,25.11,해물볶음밥
148,16.55,103.3,30.21,회덮밥
149,14.4,11.5,7.5,깻잎나물볶음
150,20.67,18.21,22.96,돼지고기볶음
151,16.7,24.5,25.8,돼지껍데기볶음
152,17.12,14.08,19.47,두부김치
153,7.0,7.6,3.5,머위나물볶음
154,2.24,3.41,4.65,멸치풋고추볶음
155,29.9,31.8,18.8,소세지볶음
156,21.3,76.7,20.7,순대볶음
157,8.3,11.0,4.5,양송이버섯볶음
158,19.9,20.5,25.6,오삼불고기
159,5.2,22.83,18.33,주꾸미볶음
160,6.7,15.8,4.5,표고버섯볶음
161,15.3,32.2,38.2,해물볶음
162,9.27,42.16,6.31,곰보빵
163,1.64,46.8,5.13,만주
164,11.04,27.74,4.91,버터크림빵
165,16.7,61.2,27.4,불고기피자
166,35.1,36.5,23.3,참치샌드위치
167,3.68,39.95,3.53,찹쌀도우넛
168,16.38,31.19,7.13,채소고로케
169,24.96,43.6,5.32,초콜릿케이크
170,20.63,28.64,7.23,치즈케이크
171,15.8,71.2,31.4,치즈피자
172,18.4,32.52,5.99,페이스트리빵
173,14.8,70.3,29.4,페퍼로니피자
174,25.5,71.6,28.0,포테이토피자
175,5.47,20.34,0.6,수정과
176,2.63,24.32,2.3,식혜
177,0.5,5.4,1.0,간장마늘쫑장아찌
178,0.9,10.5,1.3,고추장마늘쫑장아찌
179,0.13,17.43,0.5,매실장아찌
180,0.23,5.03,0.44,무장아찌
181,30.43,0.0,57.72,계적
182,1.28,2.83,13.14,낙지꼬지
183,7.42,0.0,30.08,돔베기적
184,25.57,7.33,48.41,소고기산적
185,2.51,6.45,17.92,소라산적
186,1.98,3.6,17.38,오징어산적
187,0.66,0.0,23.59,홍어적
188,4.8,10.58,17.78,홍합산적
189,11.07,6.92,25.76,가자미전
190,17.22,17.01,12.91,고추전
191,10.5,14.5,10.6,굴전
192,25.78,14.54,17.74,깻잎전
193,10.27,20.93,7.95,녹두빈대떡
194,20.0,12.68,19.62,동그랑땡(육원전)
195,15.04,10.54,22.64,동태전
196,15.87,7.5,20.46,두부전
197,7.62,34.23,5.24,미나리전
198,8.67,35.52,5.17,배추전
199,14.87,16.19,10.52,버섯전
200,9.5,21.6,5.4,야채전
201,14.03,34.81,6.83,파전
202,17.1,11.3,11.3,햄부침
203,8.1,10.1,3.9,호박부침개
204,13.09,16.1,6.48,호박전
205,14.77,21.35,13.58,화양적
206,7.1,21.5,37.1,가자미조림
207,4.9,13.4,3.3,고추조림
208,4.7,17.4,40.8,동태조림
209,1.85,3.37,8.34,돼지고기메추리알장조림
210,3.33,17.14,20.83,북어조림
211,1.84,2.88,8.14,소고기메추리알장조림
212,18.8,12.8,41.1,조기조림
213,7.1,107.35,17.9,게살죽
214,15.94,79.31,13.66,깨죽
215,5.6,84.7,16.5,백합죽
216,7.47,109.03,18.75,소고기버섯죽
217,7.5,100.8,20.4,어죽
218,19.63,155.28,19.18,잣죽
219,16.06,104.57,24.19,참치죽
220,33.7,25.6,48.9,고등어찌개
221,15.01,11.93,15.07,김치찌개
222,23.3,12.2,24.0,꽁치찌개
223,16.1,17.1,25.6,두부전골
224,5.2,15.4,14.7,버섯찌개
225,18.6,39.7,18.4,부대찌개
226,8.1,7.2,16.2,새우젓두부찌개
227,27.3,29.2,41.6,소곱창전골
228,10.4,12.7,11.1,햄김치찌개
229,2.6,12.2,5.6,호박찌개
230,7.9,24.7,51.7,대구찜
231,3.49,0.54,23.0,도미찜
232,9.7,25.8,50.9,동태찜
233,49.2,57.4,72.1,돼지등갈비찜
234,52.0,3.5,42.4,돼지머리고기
235,19.7,23.7,61.3,매운갈비찜
236,0.51,0.73,14.86,문어숙회
237,5.91,0.0,21.47,민어찜
238,11.52,0.16,18.86,병어찜
239,5.7,18.0,28.1,북어찜
240,36.9,71.6,54.3,붕어찜
241,26.96,13.14,49.86,소갈비찜
242,25.64,58.36,19.56,순대
243,5.31,17.47,48.3,아구찜
244,6.5,43.1,65.4,아구찜
245,38.8,139.5,114.2,안동찜닭
246,22.97,0.6,17.28,전어찜
247,10.59,1.64,20.06,조기찜
248,2.5,4.59,12.47,참꼬막
249,20.1,3.36,68.79,한방오리백숙
250,9.8,35.4,42.6,해물찜
251,1.03,1.22,47.12,홍어찜
252,12.8,0.8,35.8,갈낙탕
253,3.7,18.1,19.4,곰탕
254,16.62,9.13,58.42,광어매운탕
255,3.2,10.4,29.4,낙지탕
256,7.21,16.84,57.36,대구매운탕
257,6.2,9.9,41.6,대구지리탕
258,10.2,48.6,28.6,메기매운탕
259,2.7,10.3,41.7,복지리탕
260,5.35,1.9,7.66,소탕
261,4.9,12.8,37.8,아구탕
262,3.09,1.82,12.7,어탕
263,9.03,20.19,94.9,연포탕
264,17.03,11.24,52.15,우럭매운탕
265,3.95,0.35,12.66,육탕
266,3.0,15.8,26.8,전복탕
267,19.4,17.3,35.1,조기매운탕
268,8.5,16.6,11.5,짱뚱어탕
269,13.2,26.8,22.7,추어탕
270,4.7,16.6,39.8,해물탕
271,11.0,94.6,3.3,고구마맛탕
272,11.87,33.8,2.72,고구마튀김
273,12.6,14.6,7.6,고추튀김
274,49.7,48.8,65.2,닭튀김
275,37.55,38.49,32.99,등심돈가스
276,26.6,29.1,28.1,모래집튀김
277,25.39,28.86,10.89,미꾸라지튀김
278,41.1,46.56,24.33,생선까스
279,42.4,34.25,33.28,안심돈가스
280,26.8,42.3,35.5,양념치킨
281,16.49,42.5,9.62,쥐포튀김
282,46.69,41.76,42.02,치즈돈가스
283,33.92,44.02,27.91,치킨까스
284,0.4,2.34,31.97,대구포
285,0.39,0.32,15.42,북어포
286,3.95,19.83,2.25,매작과
287,0.93,24.65,0.69,산자
288,1.35,22.19,2.49,송화다식
289,1.43,25.47,1.26,약과
290,3.85,22.27,0.84,유과
291,,,17.0,글램핑 바비큐(오리지널 L)
292,,,15.0,글램핑 바비큐(나폴리M)
293,,,16.0,글램핑 바비큐(나폴리L)
294,,,13.0,글램핑 바비큐(씬 M)
295,,,13.0,글램핑 바비큐(씬 L)
296,,,24.0,글램핑 바비큐(슈퍼시드 함유 도우M)
297,,,19.0,글램핑 바비큐(슈퍼시드 함유 도우L)
