,DESC_KOR,label
20,굴국밥,0
45,물회,0
46,생선물회,0
76,닭칼국수,0
80,삼선자장면,0
88,우동(중식),0
96,해물크림소스스파게티,0
116,돼지국밥,0
138,잡탕밥,0
139,장어덮밥,0
141,참치덮밥,0
146,해물덮밥,0
148,회덮밥,0
171,치즈피자,0
173,페퍼로니피자,0
233,돼지등갈비찜,0
240,붕어찜,0
245,안동찜닭,0
828,치킨데리야끼,0
949,미트볼 토마토 스파게티,0
959,쟁반국수,0
964,콩국수,0
965,회냉면,0
978,돼지머리국밥,0
979,모듬회덮밥,0
984,비빔밥,0
2,제육덮밥,0
4,짬뽕밥,0
240,오리고기죽,0
267,부대찌개,0
402,클래식치즈피자,0
403,햄앤체다피자,0
404,고르곤졸라피자,0
405,페파로니,0
406,페파로니매니아피자,0
407,청양페파로니피자,0
408,하와이안피자,0
411,베이컨포테이토피자,0
412,불고기피자,0
413,부라타치즈피자,0
414,나폴리슈림프피자,0
415,디아볼라피자,0
531,볼로네즈,0
259,고향 만두,0
261,신 비비고 한섬 만두,0
350,서원 교자만두,0
351,밴쯔 덤플링,0
434,매생이 삼계탕,0
824,더욱 맛있어진 뉴 백설군만두,0
825,청고추만두,0
879,알찬소시지,0
616,전통 우리만두,0
490,맘마밀1,0
491,맘마밀2,0
492,맘마밀3,0
493,맘마밀4,0
494,쎄레락1,0
495,쎄레락2,0
496,쎄레락3,0
497,아기밀s1,0
498,아기밀s2,0
499,아기밀s3,0
632,다운령 녹차,0
709,원두커피,0
712,네스카페 카페라떼,0
927,본카레 매운맛,0
928,본카레 쇠고기,0
929,본카레 순한맛,0
930,본카레 중간맛,0
937,야채카레1000g단위,0
939,하이본카레 디럭스,0
940,하이본카레 매운맛,0
941,하이본카레 순한맛,0
942,하이본카레 중간맛,0
205,그린비아 RTH,0
322,청정원 카레여왕 약간매운맛 90g,0
438,롯데마트 통큰 사천짜장,0
439,맛있는 김치 참치 덮밥,0
541,오삼 불고기 덮밥,0
649,춘천 닭갈비 덮밥,0
692,햄버그덮밥,0
701,화끈한 닭강정,0
38,타시모 게발리아 카푸치노,0
587,서울연유,0
593,연유,0
777,빅아메리칸즈 페퍼로니,0
778,리스토란테 하와이 피자,0
779,빅아메리칸즈 풀드포크,0
780,빅아메리칸즈 포치즈 피자,0
781,카프레제 피자,0
787,미니 브라우니,0
793,커클랜드 시그니춰 치즈 피자,0
817,리스토란테 살라미 피자,0
773,고기진짜많구나,0
782,진짜진짜많구나도시락,0
788,치킨몬스터도시락,0
801,불고기버거,0
963,신당동식 떡볶이,0
664,화이트초콜릿,0
684,고메그릴피자 불고기,0
685,비프&살사 께사디야,0
777,고메고르곤졸라피자,0
785,고메디아볼라피자,0
848,탕종식빵,0
400,메밀생면,0
781,알찬소시지,0
120,슬라이스흑마늘삼겹,0
206,해씨초콜릿,0
289,신 비비고 한섬만두,0
303,신 비비고물만두,0
305,비비고(bibio)군만두,0
309,맛있는교자만두,0
342,담두감자찐만두,0
346,옛날왕교자만두,0
347,담두김치손만두,0
368,개성왕교자,0
371,엄지김치손만두,0
390,씨제이고추군만두392+392,0
397,비비고 소고기 한섬만두,0
399,이츠웰실속교자만두,0
404,바삭한 찹쌀군만두,0
412,아하김치손만두,0
417,식자재왕 군만두,0
426,명인 잎새고기만두,0
573,까레 레,0
466,고기만두,0
467,군만두,0
468,물만두,0
469,김치만두,0
470,피자군만두,0
471,왕만두,0
472,잡채만두,0
473,군만두(벌크),0
474,물만두(벌크),0
480,고기교자만두,0
481,고추군만두,0
488,콤비네이션피자*쿱도우,0
489,한우불고기피자,0
541,우리밀롤빵,0
574,당근케이크,0
577,고구마봉봉2호,0
579,기리쉬케이크2호,0
583,볼빨간아기곰,0
584,산딸기무스케이크,0
585,쇼콜라티라미스,0
586,치즈케이크,0
592,미니크림치즈케익(20개),0
601,호두과자(선물),0
608,우리밀모카롤,0
609,우리밀밀크롤,0
610,우리밀사과잼롤,0
611,우리밀소프트롤,0
612,우리밀카푸치노롤,0
613,우리쌀소프트롤,0
614,우리쌀카푸치노롤,0
616,포근포근스폰지케이크,0
617,허니카스테라,0
678,삼계탕,0
689,찜닭,0
517,개성왕교자,0
863,Premium X.O.이북식 손만두,0
866,옛날 물만두,0
937,고메그릴피자 불고기,0
939,4치즈 피자(FOUR CHEESE PIZZA),0
10,알찬소시지,0
64,옥수수식빵믹스,0
87,취영루 고기손만두,0
299,해보래 새우 짜조,0
324,퀴노아영양밥&숯불고기,0
341,야채볶음밥&닭가슴살스테이크,0
344,부지깽이나물밥&갈치구이,0
504,스위트맛살샐러드M,0
526,사천식 고추잡채,0
563,11가지찬많은도시락,0
606,요리하다 장충동고기순대,0
609,요리하다 담백한 두부순대,0
697,매콤한 고기순대,0
874,고기듬뿍김치제육,0
877,오늘은 치킨이닭,0
878,7찬매콤불고기,0
880,꿀조합 최애7찬,0
883,맛있겠쥬 닭갈비,0
891,강력추천 8찬정식,0
928,12찬한판도시락,0
938,남도떡갈비정식,0
535,궁매콤한쪽갈비,0
549,양념소갈비찜,0
897,정성가득밥상매운돼지갈비찜,0
114,유부초밥&크림치즈롤,0
121,연탄불고기도시락,0
124,반반치킨,0
131,불고기크래미불닭유부초밥,0
171,우주인 피자키트 페퍼로니 앤 파인애플,0
183,샐러드&볼로네즈파스타,0
188,우주인 피자키트 스위트포테이토,0
189,짜장면을빼당빼당,0
200,안심 닭볶음탕,0
203,제주흑돈치즈돈까스도시락,0
204,왕돈까스도시락,0
205,제육에그참치유부초밥,0
211,갈비맛&양념치킨,0
213,도시락의정석)꽈리고추&치킨편,0
214,마더세이,0
222,리얼치즈등심돈까스도시락,0
225,닭가슴살흑임자샌드,0
232,마성의 돈까스,0
233,까스왕,0
234,두유투움바파스타를빼당빼당,0
235,"세줄김밥(불고기,참치,치즈)",0
246,페파로니 시카고 치즈피자,0
247,11겹등심돈까스도시락,0
248,11찬도시락,0
267,볼로네즈&크림펜네파스타,0
275,베이컨&포테이토치아바타,0
280,요리비책)불고기파스타,0
292,떡갈비&닭갈비,0
294,직화불고기참피온,0
295,햄치즈크로와상샌드,0
304,눈꽃치즈함박,0
306,퀴노아영앙밥&깻잎동그랑땡,0
307,보성녹돈불고기정식,0
308,2가지고기많은도시락,0
309,간장불고기도시락,0
328,엄마의제육볶음도시락,0
329,매콤왕돈가스도시락,0
340,모닝크로와상,0
360,고기진짜많구나도시락,0
364,햄치즈크로와상(4입),0
374,비프함박&토네이도소시지,0
391,바베큐치킨 치즈 치아바타,0
402,칠리미트 파스타 & 함박,0
405,대파제육정식,0
406,김치제육두루치기도시락,0
408,우주인 피자키트 뉴욕치즈앤 페파로니,0
410,도시락의정석)돼지불고기편,0
411,제주흑돼지비빔밥,0
412,황금왕돈까스도시락,0
443,미로식당 국물소갈비찜,0
448,빅&더블버거,0
465,치킨마요덮밥,0
468,넘버원도시락,0
474,우유튀김,0
535,뉴NEW순창고추장불고기도시락,0
